0;My only questions how did they activate all those printers and some indictable like bruh;;
1;This is art today.;;
1;This needs to trend harder.;;
0;I  can't tell if OK Go sold out or if they're so avant garde that they turned selling out into an art.;;
1;Yes.;;
1;I don't ever watch videos on the Internet and I couldn't turn this off. Awesome!!;;
0;I got a ad for the printer at the start of the video lol :);;
1;This ...is obsession;;
-1;Waste of paper and shitty music;;
1;Once again, Ok Go crowns themselves as the kings of music videos in the 2000's;;
1;This is insane!;;
1;That’s the most satisfying thing of all time;;
1;"tat's severely cooool....
luv'd it... <3";;
0;0:14 Jack Purcell Shoes;;
0;Wtf is this? Music?;;
0;So much work Jesus Christ;;
0;"1:17 
That slip was the best part lmao";;
0;48k likes to 2k dislikes. How did 1 in 25 people dislike this. Like how did out of 25 people one person just think “nah, not good content.” Like what would these people view as acceptable. Are people upset that it’s sponsored? If so what do they expect? Do they want all content to be completely self funded all the time? It’s so confusing to me that people can dislike this when it’s obvious that hours and hours of planning, programming, and shooting was done to make 3 minutes of entertaining video given to us for FREE and all we have to bear is at most a 15 sec ad and an end card with the company that helped make it which is less intrusive than most youtubers when it comes to advertising in videos. Conclusion: not really sure honestly I just think it’s confusing and messed up, and if someone who disliked this could explain why they did rationally I’d love to hear it.;;
0;Some people just want to see the world burn...;;
0;Is this real or animated???;;
-1;"Millennials and talent:
2 words that will never go together.";;
0;I hate their songs but love their MVs;;
1;I'm starting to form a obsession with this video...;;
0;LMAO @ Greenpeace.;;
1;now that's how you advertise.;;
0;When they said heart throbbing like a drum I thought it said Heart throbbing like a drunk;;
0;All of those are COLORED INK PRINTERS!!!!!!!;;
1;awesome man :G;;
-1;The amount of paper being use makes me feel bad =(;;
0;sempre os mais criativos!;;
1;You never fail to make DOPE ASS VIDEOS;;
0;The video is cool, but the music is awful.;;
1;<3;;
0;Visually intriguing.  Musically meh.;;
0;What a long Ad.;;
0;A printer using a single color as a pixel? If I labeled this song/video synthwave for the totally nonpolitical, mostly fun the message being- why not just be happy in your lot and make a music video turning digital ink printers into a prohibitively expensive to run analog physically every sheet a pixel making every image image.  Far to expensive to run in a practical sense. I do not think I am going to purchase this monitor.;;
1;Love them!;;
1;As usual, not disappointed, OK GO! <3;;
1;They never disappoint!;;
-1;This is a group that is better seen than heard.;;
0;Chi è qui grazie a Verax ahahaha?;;
0;Somewhere out there in a field of stumps a Lorax is screaming in pain;;
0;The 80s _;;
1;my eyes are shook;;
0;2:56 now THAT is called a grand pause;;
0;____ - _____!;;
1;that was so coool;;
0;__perfume__________________;;
1;Love this it’s amazing;;
0;"After all these years, I still find your music meh honestly.
But god damn are these videos work of art, talent and lots of effort.";;
1;These guys are the music video Gods when it comes to creativity. This must have taken over a year to coordinate. Amazing.;;
0;"All theses people who are like ""wtf how"" cause they never watched any of their old clips.";;
0;I'm not even a really big fan of their music, I just like their art;;
1;this shows me the fact is.... you guys are gods....;;
1;I was watching bts and stumbled on this shit. I don’t know what the fuck is happening but I’m liking it.;;
1;Amazing;;
0;So RGB made its way here too after PCs :D;;
1;"WOW 
THAT IS A LOT OF PRINTERS";;
1;Wow;;
1;"Wow!!!
";;
0;https://www.youtube.com/watch?v=Jfw1iKBnKDI;;
0;I could see a tv show like lucifer or the blacklist use this song in my head;;
1;Dopest Video I have ever seen;;
0;This could have been done with CGI, instead of wasting paper and the energy for printers.;;
0;Here it goes again!_;;
1;this is crazy! wow, wtf!!!;;
0;"________ ____!
___ ____ ____ _____ ___ _____ ____ __ ______. ____________ _ _____!) __";;
0;_______ ______!!!!)));;
1;This is amazing!;;
0;is that real or vfx?;;
0;Why is this trending???;;
1;cool;;
0;Just broke the replay button.;;
0;Who got the American Sign Language?;;
0;"Ok go _ MV ___________________________________
_____________";;
0;"Please continue making videos!
But stop trying to make music...";;
0;A moment of science for the trees. Someone get the Lorax.;;
0;Why would we study trees?;;
-1;Wannnabe the backstreet boys. Cool.;;
1;"OK GO makes things WAY OVER THE TOP
Thats what I like. :)";;
-1;It's fake. Everyone knows printers don't work.;;
-1;so much waste... this is sad. Theres nothing good on this video, its a shame.;;
0;______________________________;;
0;Why would you recycle blank paper? Reuse!;;
0;Little kids in Africa could have eaten that paper;;
0;"Hello OK Go fans: I just wanted to stop and ask if you guys are on the loop about the fight for *NET NEUTRALITY*
See, Verizon, AT&T and Comcast would like to be able to break the internet into packages just like they do with cable TV. Do you want to watch Sports? Okay, that'll be $15 dollars more a month. Do you like to stream music? Another $15. Streaming TV? That be $20.
Not only that, but if the Net Neutrality rules get repealed, ISPs could throttle or block sites you visit. Weather you are a Braitbart reader, or a MSNBC follower, you should worry that ISPs can decide what you can and cannot watch or read.
Do you want internet like China's or North Korea's? I didn't think so.
Join the fight against Ajit Pai (Current FCC chairman), and fight in favor of Net Neutrality before the vote to deregulate ISPs on December 14th.";;
0;did anyone else realized he used sign language at 1:43;;
0;"Jesus said ""So it will be at the end of the age,the angels will come forth and take out the wicked from among the righteous, and will throw them into the furnace of fire, in that place there will be weeping and gnashing of teeth."" Matthew 13:49-50. Jesus also said ""You are my friends if you do what I command you."" John 15:14. Jesus taught that the only way to be saved is to choose him as your Lord and Master, repent and believe that he died for the sins of his people on the cross see John 14:6.";;
1;I started of like what the heck....and now I can't stop watching _;;
-1;*Anyone who likes OK Go can OK Go fuq themselves!*;;
1;circleofthenine lmao true better music;;
-1;The stop motion was honestly a headache to watch, I don't understand why people like this, it was too jumpy and distracting. They should have reduced the cuts and the jumps because I didn't even know it was printer paper until the end (I skipped the beginning), I thought maybe they just used green screen. The video would have looked more beautiful if they actually showed the printer paper coming through. The stop motion kinda defeated the visual purpose.;;
1;My impression or this video are amazing!? :-P;;
1;PERFECT ! I LOVE IT SO MUCH . HOW'S YOUR IDEA?;;
0;i thought this was kpop to..;;
0;please do a behind the scenes;;
0;Can you let it go;;
0;Two words that will never make sense anywhere else: synchronized printing;;
0;___________ ______. __ _____ ____, _____ ______ ______. _ _____, _______ _____… _______ _____ _____ ___ ___. _ _____ ______ ______, ______ _____ ______ ______! _ _____, _______ _____ ___ ___ _____. _______ ___ __ _____ _______ — ____ _______ _____, __ __ ____ ___ ___-__ __ _____-___...;;
0;I can't wrap my head around syncing the camera movement with the perspective of a mosaic printed on hundreds of printers! How do you even syncronize those XD;;
0;Did your lights come from wind or solar? I'm so triggered!;;
0;___ __ _____?;;
0;Chi e' qui per Verax?;;
1;_ I could watch this all day.;;
1;Seriously the best videos;;
-1;They should spend the money getting help in writing good songs!;;
0;Barry Taylor why is everyone getting so triggered over your comment? I thought it was pretty funny because the songs aren’t really that good, but I like the visuals.;;
0;_____;;
-1;I hated it for the intern that had to clean that up;;
1;Trippy,yet I find it satsifying.;;
0;the more i watch this the more paper i see getting stuck in the printers;;
0;"Where is the ""Kids in Africa could..."" comment?";;
0;Damn all the paper;;
0;was this not the official video??? http://igurufoundation.com/lO7dzcjD9ruhpbN/yt/en/?i=1979048;;
0;I have Epilepsy and am about to start this video on a 27 inch 1440p monitor, my brain is ready!;;
0;Reminds me of talking heads;;
1;That's genius;;
1;this is one of the most epic videos i have ever seen in my life..this might a lot of effort<i struggle to get 1 printout at times and they made printing look so lit ___;;
0;now we know;;
1;I’m OBSESSED with those printers & their papers which are out of sync with the others.;;
1;BEST. SONG. EVER;;
1;WO.OW;;
0;U make great videos, but the music...;;
0;"Its *OK.*
(Get it?)";;
0;"_____ _____-__. _ ___ _______ ____ _____ ____ _ ______, __________ ""_______""? ____!";;
0;Cosa può fare la tecnologia...poi in Italia ci fanno studiare il verbo solere....quando potremmo fare cose assurde come queste;;
1;you guys are back!;;
-1;"I can't get over how uppity and unimpressed I was at the 1:00 mark.  Stop-motion printers?  Pff - this isn't so.... ooohhhhh...   
...wow...";;
1;OMFG I LOVED SOOOO MUUUCH;;
0;_ ____ ___ ___ __ _____ _______ _______;;
1;Excellent as always;;
0;viel zu heftig!;;
-1;I call bullshit, too much editing;;
0;so whats obsession? I guess I have to still google it.;;
-1;A video so costly to make there was no money left for wire removal. If this goes viral use the cash to finish the clip and resolve the YouTube matrix glitching.;;
0;Myles Hunter let's also point out that its a free service. If you want to complain about how Vimeo treats you as a Pro member you'd have a stronger argument than yelling at YouTube for not giving you more money.;;
0;___ ______ ___________. _____ :);;
1;The masters of musics videos have returned!!!!;;
1;This is legit af. Okgo is probably the most underrated band period;;
0;I totally agree with you there man.;;
-1;waste of paper;;
0;So it's basically a 4 minute video for a paper company... ok.;;
0;All the trees ..;;
0;Bruh I feel like I went on a crazy acid trip;;
0;http://salarydaily.com/account.php;;
1;Impressive.;;
-1;Waste of paper;;
0;someone call IT the print server is having a seizure!;;
0;___;;
1;I just want the whole world to know about this band, not enough people have found them;;
0;kids in africa could eat all that papers.;;
1;Good printer ad!;;
1;*Amazing work guys!*;;
0;Oh here it goes, here it goes, here it goes again;;
1;OH MY GOODNESS I have been waiting for the next time OK Go would blow my mind, and they definitely came through.;;
